channel,offset_khz,db_rel_median
36,-8.63075,0.588802
36,-8.60691,0.600209
36,-8.58307,0.597956
36,-8.55923,0.595124
36,-8.53539,0.589283
36,-8.51154,0.595972
36,-8.4877,0.597647
36,-8.46386,0.59763
36,-8.44002,0.592169
36,-8.41618,0.59278
36,-8.39233,0.597221
36,-8.36849,0.600926
36,-8.34465,0.589178
36,-8.32081,0.588704
36,-8.29697,0.593218
36,-8.27312,0.596223
36,-8.24928,0.592371
36,-8.22544,0.59201
36,-8.2016,0.590905
36,-8.17776,0.588495
36,-8.15392,0.597434
36,-8.13007,0.591509
36,-8.10623,0.595087
36,-8.08239,0.597306
36,-8.05855,0.597876
36,-8.03471,0.599884
36,-8.01086,0.59299
36,-7.98702,0.592349
36,-7.96318,0.596822
36,-7.93934,0.598052
36,-7.9155,0.597087
36,-7.89165,0.600471
36,-7.86781,0.594942
36,-7.84397,0.595627
36,-7.82013,0.595584
36,-7.79629,0.604369
36,-7.77245,0.599185
36,-7.7486,0.597201
36,-7.72476,0.59931
36,-7.70092,0.592807
36,-7.67708,0.599701
36,-7.65324,0.601074
36,-7.62939,0.596793
36,-7.60555,0.600243
36,-7.58171,0.603823
36,-7.55787,0.598987
36,-7.53403,0.600894
36,-7.51019,0.597824
36,-7.48634,0.598529
36,-7.4625,0.600516
36,-7.43866,0.602002
36,-7.41482,0.599308
36,-7.39098,0.597884
36,-7.36713,0.60092
36,-7.34329,0.603247
36,-7.31945,0.599505
36,-7.29561,0.601777
36,-7.27177,0.598972
36,-7.24792,0.597972
36,-7.22408,0.60234
36,-7.20024,0.600164
36,-7.1764,0.598746
36,-7.15256,0.598029
36,-7.12872,0.602161
36,-7.10487,0.599831
36,-7.08103,0.596762
36,-7.05719,0.59822
36,-7.03335,0.598614
36,-7.00951,0.600416
36,-6.98566,0.599419
36,-6.96182,0.600959
36,-6.93798,0.606041
36,-6.91414,0.601557
36,-6.8903,0.600558
36,-6.86646,0.609105
36,-6.84261,0.606961
36,-6.81877,0.609383
36,-6.79493,0.598767
36,-6.77109,0.605761
36,-6.74725,0.600693
36,-6.7234,0.606414
36,-6.69956,0.603832
36,-6.67572,0.601045
36,-6.65188,0.603071
36,-6.62804,0.612604
36,-6.60419,0.600932
36,-6.58035,0.599278
36,-6.55651,0.600859
36,-6.53267,0.60081
36,-6.50883,0.608117
36,-6.48499,0.60114
36,-6.46114,0.60511
36,-6.4373,0.606585
36,-6.41346,0.603753
36,-6.38962,0.607177
36,-6.36578,0.601324
36,-6.34193,0.609037
36,-6.31809,0.602312
36,-6.29425,0.609469
36,-6.27041,0.605438
36,-6.24657,0.607914
36,-6.22272,0.606318
36,-6.19888,0.603825
36,-6.17504,0.603884
36,-6.1512,0.605947
36,-6.12736,0.607669
36,-6.10352,0.605034
36,-6.07967,0.603467
36,-6.05583,0.606109
36,-6.03199,0.607399
36,-6.00815,0.607214
36,-5.98431,0.60878
36,-5.96046,0.61558
36,-5.93662,0.6112
36,-5.91278,0.611366
36,-5.88894,0.605536
36,-5.8651,0.611801
36,-5.84126,0.614296
36,-5.81741,0.626501
36,-5.79357,0.609797
36,-5.76973,0.606607
36,-5.74589,0.60725
36,-5.72205,0.612593
36,-5.6982,0.609286
36,-5.67436,0.605372
36,-5.65052,0.615311
36,-5.62668,0.613407
36,-5.60284,0.614094
36,-5.57899,0.612448
36,-5.55515,0.609397
36,-5.53131,0.612823
36,-5.50747,0.610539
36,-5.48363,0.612606
36,-5.45979,0.611015
36,-5.43594,0.614006
36,-5.4121,0.612417
36,-5.38826,0.605577
36,-5.36442,0.611043
36,-5.34058,0.612786
36,-5.31673,0.61554
36,-5.29289,0.615015
36,-5.26905,0.616093
36,-5.24521,0.610765
36,-5.22137,0.614264
36,-5.19753,0.616766
36,-5.17368,0.607831
36,-5.14984,0.612661
36,-5.126,0.618703
36,-5.10216,0.614597
36,-5.07832,0.61639
36,-5.05447,0.617128
36,-5.03063,0.61512
36,-5.00679,0.621283
36,-4.98295,0.6186
36,-4.95911,0.617676
36,-4.93526,0.61891
36,-4.91142,0.620955
36,-4.88758,0.621071
36,-4.86374,0.626148
36,-4.8399,0.62797
36,-4.81606,0.628692
36,-4.79221,0.621847
36,-4.76837,0.625886
36,-4.74453,0.621992
36,-4.72069,0.634214
36,-4.69685,0.641724
36,-4.673,0.619973
36,-4.64916,0.626694
36,-4.62532,0.636165
36,-4.60148,0.64023
36,-4.57764,0.634033
36,-4.55379,0.638953
36,-4.52995,0.642701
36,-4.50611,0.638001
36,-4.48227,0.635171
36,-4.45843,0.636233
36,-4.43459,0.645574
36,-4.41074,0.635354
36,-4.3869,0.639757
36,-4.36306,0.643475
36,-4.33922,0.643481
36,-4.31538,0.659293
36,-4.29153,0.659853
36,-4.26769,0.646866
36,-4.24385,0.652392
36,-4.22001,0.67509
36,-4.19617,0.673162
36,-4.17233,0.649491
36,-4.14848,0.660922
36,-4.12464,0.672665
36,-4.1008,0.678436
36,-4.07696,0.654339
36,-4.05312,0.658777
36,-4.02927,0.677514
36,-4.00543,0.676073
36,-3.98159,0.664501
36,-3.95775,0.663124
36,-3.93391,0.691734
36,-3.91006,0.690849
36,-3.88622,0.678408
36,-3.86238,0.669739
36,-3.83854,0.681811
36,-3.8147,0.707694
36,-3.79086,0.686231
36,-3.76701,0.672572
36,-3.74317,0.701104
36,-3.71933,0.731751
36,-3.69549,0.741953
36,-3.67165,0.678735
36,-3.6478,0.690454
36,-3.62396,0.721097
36,-3.60012,0.723024
